referencia,pc1,pc2,lat,lon,area_m2,municipio,uso,tipo_via,nombre_via,numero,direccion,es_residencial,es_asr,error_dnprc
0103402VL0100S,0103402,VL0100S,40.768679,-4.25268,292.0,EL ESPINAR,Agrario,,,,DS DISEMINADO-EL ESPINAR 89 Polígono 1 MATAMAJAL. 40400 EL ESPINAR (SEGOVIA),False,False,
0103403VL0100S,0103403,VL0100S,40.768645,-4.252433,83.0,EL ESPINAR,Agrario,,,,DS DISEMINADO-EL ESPINAR 89(B) 40400 EL ESPINAR (SEGOVIA),False,False,
40087A00100001,40087A0,0100001,40.785871,-4.219512,38123.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 1 VENTA DEL HAMBRE. EL ESPINAR (SEGOVIA),False,False,
40087A00100002,40087A0,0100002,40.785091,-4.216966,58543.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 2 VENTA DEL HAMBRE. EL ESPINAR (SEGOVIA),False,False,
40087A00100003,40087A0,0100003,40.784279,-4.214229,27828.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 3 VENTA DEL HAMBRE. EL ESPINAR (SEGOVIA),False,False,
40087A00100005,40087A0,0100005,40.783017,-4.213094,8839.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 5 VENTA DEL HAMBRE. EL ESPINAR (SEGOVIA),False,False,
40087A00100006,40087A0,0100006,40.782608,-4.211957,8984.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 6 VENTA DEL HAMBRE. EL ESPINAR (SEGOVIA),False,False,
40087A00100009,40087A0,0100009,40.766644,-4.205501,81584.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 9 ARROYO. EL ESPINAR (SEGOVIA),False,False,
40087A00100011,40087A0,0100011,40.770922,-4.20824,97301.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 11 ARROYO. EL ESPINAR (SEGOVIA),False,False,
40087A00100012,40087A0,0100012,40.766023,-4.208554,85693.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 12 ARROYO. EL ESPINAR (SEGOVIA),False,False,
40087A00100013,40087A0,0100013,40.771016,-4.211106,69463.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 13 ARROYO. EL ESPINAR (SEGOVIA),False,False,
40087A00100014,40087A0,0100014,40.765527,-4.215562,684293.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 14 ARROYO. EL ESPINAR (SEGOVIA),False,False,
40087A00100015,40087A0,0100015,40.763274,-4.223178,370880.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 15 RINCONADA. EL ESPINAR (SEGOVIA),False,False,
40087A00100016,40087A0,0100016,40.764856,-4.228276,305541.0,EL ESPINAR,Agrario,,,,LG MUNICIPIO  Polígono 1 Parcela 16 RINCONADA. 40400 EL ESPINAR (SEGOVIA),False,False,
40087A00100017,40087A0,0100017,40.76271,-4.231796,104072.0,EL ESPINAR,Agrario,,,,LG MUNICIPIO  Polígono 1 Parcela 17 RINCONADA. 40400 EL ESPINAR (SEGOVIA),False,False,
40087A00100018,40087A0,0100018,40.760275,-4.233142,114985.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 18 RINCONADA. EL ESPINAR (SEGOVIA),False,False,
40087A00100020,40087A0,0100020,40.767258,-4.239631,149874.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 20 RINCONADA. EL ESPINAR (SEGOVIA),False,False,
40087A00100021,40087A0,0100021,40.76393,-4.244083,62567.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 21 MOLINO DEL BOSQUE. EL ESPINAR (SEGOVIA),False,False,
40087A00100022,40087A0,0100022,40.76753,-4.244257,109349.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 22 EL SAHUQUILLO. EL ESPINAR (SEGOVIA),False,False,
40087A00100023,40087A0,0100023,40.770973,-4.241918,140767.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 23 EL SAHUQUILLO. EL ESPINAR (SEGOVIA),False,False,
40087A00100024,40087A0,0100024,40.771013,-4.245124,109589.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 24 SAN MIGUEL. EL ESPINAR (SEGOVIA),False,False,
40087A00100025,40087A0,0100025,40.768123,-4.247872,37104.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 25 EL CEBADERO. EL ESPINAR (SEGOVIA),False,False,
40087A00100026,40087A0,0100026,40.766983,-4.250102,25120.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 26 EL CEBADERO. EL ESPINAR (SEGOVIA),False,False,
40087A00100027,40087A0,0100027,40.768634,-4.249682,33929.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 27 EL CEBADERO. EL ESPINAR (SEGOVIA),False,False,
40087A00100028,40087A0,0100028,40.768389,-4.248889,25189.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 28 EL CEBADERO. EL ESPINAR (SEGOVIA),False,False,
40087A00100029,40087A0,0100029,40.7703,-4.24802,10816.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 29 EL CEBADERO. EL ESPINAR (SEGOVIA),False,False,
40087A00100030,40087A0,0100030,40.77172,-4.249325,13691.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 30 LA LOSA. EL ESPINAR (SEGOVIA),False,False,
40087A00100031,40087A0,0100031,40.775053,-4.250339,371287.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 31 LA LOSA. EL ESPINAR (SEGOVIA),False,False,
40087A00100032,40087A0,0100032,40.773196,-4.255574,413266.0,EL ESPINAR,Agrario,,,,Suelo Polígono 1 Parcela 32 LA LOSA. EL ESPINAR (SEGOVIA),False,False,
40087A00100033,40087A0,0100033,40.770055,-4.261173,586422.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 33 EL CALOQUILLO. EL ESPINAR (SEGOVIA),False,False,
40087A00100035,40087A0,0100035,40.763598,-4.255065,159025.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 35 MATAMAJAL. EL ESPINAR (SEGOVIA),False,False,
40087A00100036,40087A0,0100036,40.762207,-4.25367,49594.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 36 MATAMAJAL. EL ESPINAR (SEGOVIA),False,False,
40087A00100037,40087A0,0100037,40.76626,-4.252829,14559.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 37 MATAMAJAL. EL ESPINAR (SEGOVIA),False,False,
40087A00100038,40087A0,0100038,40.765736,-4.25009,51409.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 38 MATAMAJAL. EL ESPINAR (SEGOVIA),False,False,
40087A00100039,40087A0,0100039,40.764692,-4.246731,42884.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 39 MOLINO NUEVO. EL ESPINAR (SEGOVIA),False,False,
40087A00100040,40087A0,0100040,40.762324,-4.248059,174637.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 40 MOLINO DEL BOSQUE. EL ESPINAR (SEGOVIA),False,False,
40087A00100041,40087A0,0100041,40.764239,-4.250959,45552.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 41 MATAMAJAL. EL ESPINAR (SEGOVIA),False,False,
40087A00100042,40087A0,0100042,40.762051,-4.251558,22690.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 42 MATAMAJAL. EL ESPINAR (SEGOVIA),False,False,
40087A00100043,40087A0,0100043,40.760206,-4.248914,43002.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 43 CERCA. EL ESPINAR (SEGOVIA),False,False,
40087A00100044,40087A0,0100044,40.759572,-4.250882,20232.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 44 CERCA. EL ESPINAR (SEGOVIA),False,False,
40087A00100045,40087A0,0100045,40.759285,-4.247835,27577.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 45 CERCA. EL ESPINAR (SEGOVIA),False,False,
40087A00100046,40087A0,0100046,40.762341,-4.244829,519079.0,EL ESPINAR,Agrario,,,,LG MUNICIPIO  Polígono 1 Parcela 46 LA RINCONADA. 40400 EL ESPINAR (SEGOVIA),False,False,
40087A00100052,40087A0,0100052,40.757906,-4.224985,640539.0,EL ESPINAR,Agrario,,,,LG MUNICIPIO  Polígono 1 Parcela 52 RINCONADA. 40400 EL ESPINAR (SEGOVIA),False,False,
40087A00100053,40087A0,0100053,40.756234,-4.2182,455564.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 53 LA RINCONADA. EL ESPINAR (SEGOVIA),False,False,
40087A00100054,40087A0,0100054,40.754076,-4.214651,179600.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 54 CASERIO. EL ESPINAR (SEGOVIA),False,False,
40087A00100146,40087A0,0100146,40.756428,-4.256158,523086.0,EL ESPINAR,Agrario,,,,LG MUNICIPIO  Polígono 1 Parcela 146 CERCA DEL ROMO. 40400 EL ESPINAR (SEGOVIA),False,False,
40087A00100147,40087A0,0100147,40.75611,-4.254703,41011.0,EL ESPINAR,Agrario,,,,LG MUNICIPIO  Polígono 1 Parcela 147 0114701VL0101S CERCA DEL ROMO. 40400 EL ESPINAR (SEGOVIA),False,False,
40087A00100148,40087A0,0100148,40.758045,-4.253636,24188.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 148 CERCA DEL ROMO. EL ESPINAR (SEGOVIA),False,False,
40087A00100149,40087A0,0100149,40.757188,-4.251281,142112.0,EL ESPINAR,Agrario,,,,LG MUNICIPIO  Polígono 1 Parcela 149 PRADO PASADERAS. 40400 EL ESPINAR (SEGOVIA),False,False,
40087A00100154,40087A0,0100154,40.757365,-4.247041,87289.0,EL ESPINAR,Agrario,,,,Polígono 1 Parcela 154 CEPO NEGRILLO. EL ESPINAR (SEGOVIA),False,False,
